Название раздела;Название раздела;Название раздела;Название товара;Артикул товара;Артикул родительского товара;Цена товара;Название производителя;Файл изображения для товара;Цвет;Размер;Состав;Сезон;Описание товара;Дополнительное изображение № 1;Дополнительное изображение № 2;Дополнительное изображение № 3;Дополнительное изображение № 4;Дополнительное изображение № 5;Дополнительное изображение № 6;"Склад ""Основной""";Флаг индексации;Новые поступления;
;;;Гольфы;050514_11-35-38;050514_11;156;Nur die;;Серый;35-38;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Носки;140515_22;;156;Nur die;/upload/import/140515_22.JPG;Серый;;90% вискоза 9% полиамид 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_22-35-38;140515_22;156;Nur die;;Серый;35-38;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_22-39-42;140515_22;156;Nur die;;Серый;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_87;;156;Nur die;/upload/import/140515_87.JPG;Мультиколор;;92% хлопок 6% поламид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_87-35-38;140515_87;156;Nur die;;Мультиколор;35-38;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_87-39-42;140515_87;156;Nur die;;Мультиколор;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_86;;156;Nur die;/upload/import/140515_86.JPG;Мультиколор;;92% хлопок 6% поламид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_86-39-42;140515_86;156;Nur die;;Мультиколор;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_86-43-46;140515_86;156;Nur die;;Мультиколор;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_36;;156;Nur die;/upload/import/140515_36.JPG;Мультиколор;;92% хлопок 6% поламид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_36-39-42;140515_36;156;Nur die;;Мультиколор;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_36-43-46;140515_36;156;Nur die;;Мультиколор;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_82;;156;Nur die;/upload/import/140515_82.JPG;Серый;;77% хлопок 22% полиамид 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_82-39-42;140515_82;156;Nur die;;Серый;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_82-43-46;140515_82;156;Nur die;;Серый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_83;;156;Nur die;/upload/import/140515_83.JPG;Синий;;77% хлопок 22% полиамид 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_83-39-42;140515_83;156;Nur die;;Синий;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_83-43-46;140515_83;156;Nur die;;Синий;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_84;;156;Nur die;/upload/import/140515_84.JPG;Коричневый;;46% хлопок 46% полиакрил 6% полиэстер 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_84-39-42;140515_84;156;Nur die;;Коричневый;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_84-43-46;140515_84;156;Nur die;;Коричневый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_23;;156;Nur die;/upload/import/140515_23.JPG;Коричневый;;47% хлопок 45% вискоза 7% полиэстер 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_23-39-42;140515_23;156;Nur die;;Коричневый;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_23-43-46;140515_23;156;Nur die;;Коричневый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_90;;156;Nur die;/upload/import/140515_90.JPG;Серый;;47% хлопок 45% вискоза 7% полиэстер 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_90-39-42;140515_90;156;Nur die;;Серый;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_90-43-46;140515_90;156;Nur die;;Серый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_85;;156;Nur die;/upload/import/140515_85.JPG;Коричневый;;46% шерсть 27% полиамид 26% полиакрил 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_85-39-42;140515_85;156;Nur die;;Коричневый;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_85-43-46;140515_85;156;Nur die;;Коричневый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_31;;156;Nur die;/upload/import/140515_31.JPG;Черный;;47% хлопок 45% вискоза 7% полиэстер 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_31-39-42;140515_31;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_31-43-46;140515_31;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Комплект носков (unisex) 3 пары;140515_44;;156;Nur die;/upload/import/;Черный;;63% хлопок 37% полиамид;Демисезон;;;;;;;;2;1;;
;;;Комплект носков (unisex) 3 пары;140515_44-39-42;140515_44;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
;;;Комплект носков (unisex) 3 пары;140515_44-43-46;140515_44;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Комплект носков (unisex) 3 пары;140515_44;;156;Nur die;/upload/import/140515_44.JPG;Черный;;63% хлопок 37% полиамид;Демисезон;;;;;;;;2;1;;
;;;Комплект носков (unisex) 3 пары;140515_44-39-42;140515_44;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
;;;Комплект носков (unisex) 3 пары;140515_44-43-46;140515_44;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_58;;156;Nur die;/upload/import/140515_58.JPG;Бежевый;;79% вискоза 19% полиамид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_58-43-46;140515_58;156;Nur die;;Бежевый;43-46;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_58-47-48;140515_58;156;Nur die;;Бежевый;47-48;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_35;;156;Nur die;/upload/import/140515_35.JPG;Бежевый;;76% хлопок 22% полиамид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_35-39-42;140515_35;156;Nur die;;Бежевый;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_35-43-46;140515_35;156;Nur die;;Бежевый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Light Hiker;Термоноски;140515_61;;350;Light Hiker;/upload/import/140515_61.JPG;Серый;;35% тенсель 35% кулмакс 18% нейлон 10% лайкра 1% модал;Демисезон;;;;;;;;2;1;;
;;;Термоноски;140515_61-M;140515_61;350;Light Hiker;;Серый;                M;;Демисезон;;;;;;;;2;0;;
;;;Термоноски;140515_61-L;140515_61;350;Light Hiker;;Серый;                L;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Relax;Комплект носков 2 пары;140515_24;;156;Relax;/upload/import/140515_24.JPG;Серый;;80% хлопок 17% полиамид 3% эластан;Демисезон;;;;;;;;2;1;;
;;;Комплект носков 2 пары;140515_24-35-38;140515_24;156;Relax;;Серый;35-38;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Комплект носков 2 пары;140515_25;;156;Nur die;/upload/import/140515_25.JPG;Белый;;63% хлопок 37% полиамид;Демисезон;;;;;;;;2;1;;
;;;Комплект носков 2 пары;140515_25-35-38;140515_25;156;Nur die;;Белый;35-38;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_26;;156;Nur die;/upload/import/140515_26.JPG;Серый;;47% хлопок 45% вискоза 7% полиэстер 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_26-39-42;140515_26;156;Nur die;;Серый;39-42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Носки;140515_27;;156;Nur die;/upload/import/140515_27.JPG;Черный;;47% хлопок 45% вискоза 7% полиэстер 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_27-35-38;140515_27;156;Nur die;;Черный;35-38;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_27-39-42;140515_27;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Носки;140515_28;;156;Nur die;/upload/import/140515_28.JPG;Синий;;47% хлопок 45% вискоза 7% полиэстер 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_28-39-42;140515_28;156;Nur die;;Синий;39-42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Носки;140515_29;;156;Nur die;/upload/import/140515_29.JPG;Коричневый;;47% хлопок 45% вискоза 7% полиэстер 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_29-35-38;140515_29;156;Nur die;;Коричневый;35-38;;;;;;;;;;2;0;;
;;;Носки;140515_29-39-42;140515_29;156;Nur die;;Коричневый;39-42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Гольфы;140515_30;;156;Nur die;/upload/import/140515_30.JPG;Черный;;91% хлопок 8% поламид 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Гольфы;140515_30-39-42;140515_30;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_32;;156;Nur die;/upload/import/140515_32.JPG;Мультиколор;;70% хлоплк 28% полиамид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_32-43-46;140515_32;156;Nur die;;Мультиколор;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_33;;156;Nur die;/upload/import/140515_33.JPG;Мультиколор;;40% хлопок 40% акрил 15% полиэстер 5% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_33-39-42;140515_33;156;Nur die;;Мультиколор;39-42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Носки;140515_38;;156;Nur die;/upload/import/140515_38.JPG;Черный;;40% хлопок 40% акрил 15% полиэстер 5% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_38-39-42;140515_38;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_37;;156;Nur die;/upload/import/140515_37.JPG;Черный;;40% хлопок 40% акрил 15% полиэстер 5% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_37-43-46;140515_37;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Носки;140515_53;;156;Nur die;/upload/import/140515_53.JPG;Мультиколор;;40% хлопок 40% акрил 15% полиэстер 5% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_53-39-42;140515_53;156;Nur die;;Мультиколор;39-42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Носки;140515_54;;156;Nur die;/upload/import/140515_54.JPG;Бежевый;;40% хлопок 40% акрил 15% полиэстер 5% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_54-39-42;140515_54;156;Nur die;;Бежевый;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_55;;156;Nur die;/upload/import/140515_55.JPG;Мультиколор;;70% хлоплк 28% полиамид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_55-43-46;140515_55;156;Nur die;;Мультиколор;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_56;;156;Nur die;/upload/import/140515_56.JPG;Серый;;70% хлоплк 28% полиамид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_56-43-46;140515_56;156;Nur die;;Серый;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_89;;156;Nur die;/upload/import/140515_89.JPG;Синий;;46% шерсть 27% полиамид 26% полиакрил 1% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_89-39-42;140515_89;156;Nur die;;Синий;39-42;;Демисезон;;;;;;;;2;0;;
;;;Носки;140515_89-43-46;140515_89;156;Nur die;;Синий;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_95;;156;Nur die;/upload/import/140515_95.JPG;Черный;;70% хлоплк 28% полиамид 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_95-39-42;140515_95;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
